# ProgramName|DownloadURL|InstallSwitches
Audacity|https://github.com/audacity/audacity/releases/download/Audacity-3.7.1/audacity-win-3.7.1-64bit.exe|/S
Shotcut|https://versaweb.dl.sourceforge.net/project/shotcut/v24.11.17/shotcut-win64-241117.exe|/S
OpenShot|https://github.com/OpenShot/openshot-qt/releases/download/v3.3.0/OpenShot-v3.3.0-x86_64.exe|/silent
VLC|https://mirror.fcix.net/videolan-ftp/vlc/3.0.21/win64/vlc-3.0.21-win64.exe|/S
Blender|https://download.blender.org/release/Blender3.6/blender-3.6.2-windows-x64.msi|/quiet
GIMP|https://forksystems.mm.fcix.net/gimp/gimp/v2.10/windows/gimp-2.10.38-setup-1.exe|/VERYSILENT
Inkscape|https://inkscape.org/gallery/item/53697/inkscape-1.4_2024-10-11_86a8ad7-x64.msi|/quiet
Upscayl|https://github.com/upscayl/upscayl/releases/download/v2.15.0/upscayl-2.15.0-win.exe|/S
FreeCAD|https://github.com/FreeCAD/FreeCAD/releases/download/0.21.2/FreeCAD-0.21.2-WIN-x64-installer-1.exe|/S
OrcaSlicer|https://github.com/SoftFever/OrcaSlicer/releases/download/v2.1.0/OrcaSlicer_Windows_Installer_V2.1.0.exe|/S
Repetier-Server|https://download3.repetier.com/files/monitor/win/Repetier-Server Monitor Setup 1.4.7.exe|/S
Arduino IDE|https://downloads.arduino.cc/arduino-ide/arduino-ide_2.3.4_Windows_64bit.exe|/S
Android Studio|https://redirector.gvt1.com/edgedl/android/studio/install/2024.2.1.12/android-studio-2024.2.1.12-windows.exe|/S
VSCode|https://code.visualstudio.com/sha/download?build=stable&os=win32-x64-user|/verysilent
VSCodium|https://github.com/VSCodium/vscodium/releases/download/1.96.2.24355/VSCodiumSetup-x64-1.96.2.24355.exe|/verysilent
Geany|https://download.geany.org/geany-2.0_setup.exe|/S
LibreOffice|https://ftp.osuosl.org/pub/tdf/libreoffice/stable/24.8.2/win/x86_64/LibreOffice_24.8.2_Win_x86-64.msi|/quiet
Transmission|https://github.com/transmission/transmission/releases/download/4.0.6/transmission-4.0.6-x64.msi|/quiet
Stellarium|https://github.com/Stellarium/stellarium/releases/download/v24.4/stellarium-24.4-qt6-win64.exe|/S
XCA|https://github.com/chris2511/xca/releases/download/RELEASE.2.8.0/xca-2.8.0-win64.msi|/quiet
Thunderbird|https://download-installer.cdn.mozilla.net/pub/thunderbird/releases/128.5.2esr/win64/en-US/Thunderbird%20Setup%20128.5.2esr.exe|/silent
